#    L    TT             EE             TE             PP             TP          
    75    0.20569E+04    0.40883E+00   -0.83503E+01    0.56149E+07    0.90033E+04
    76    0.20833E+04    0.42345E+00   -0.88740E+01    0.55840E+07    0.88733E+04
    77    0.21099E+04    0.43827E+00   -0.94090E+01    0.55530E+07    0.87463E+04
    78    0.21369E+04    0.45332E+00   -0.99566E+01    0.55220E+07    0.86222E+04
    79    0.21640E+04    0.46853E+00   -0.10513E+02    0.54909E+07    0.85011E+04
    80    0.21915E+04    0.48389E+00   -0.11079E+02    0.54598E+07    0.83828E+04
    81    0.22191E+04    0.49934E+00   -0.11655E+02    0.54287E+07    0.82672E+04
    82    0.22471E+04    0.51491E+00   -0.12241E+02    0.53976E+07    0.81544E+04
    83    0.22753E+04    0.53058E+00   -0.12837E+02    0.53665E+07    0.80441E+04
    84    0.23038E+04    0.54634E+00   -0.13441E+02    0.53355E+07    0.79364E+04
    85    0.23325E+04    0.56216E+00   -0.14054E+02    0.53044E+07    0.78311E+04
    86    0.23613E+04    0.57806E+00   -0.14675E+02    0.52735E+07    0.77281E+04
    87    0.23907E+04    0.59401E+00   -0.15303E+02    0.52425E+07    0.76274E+04
    88    0.24200E+04    0.61002E+00   -0.15939E+02    0.52117E+07    0.75288E+04
    89    0.24497E+04    0.62608E+00   -0.16582E+02    0.51809E+07    0.74323E+04
    90    0.24797E+04    0.64214E+00   -0.17231E+02    0.51502E+07    0.73378E+04
    91    0.25098E+04    0.65819E+00   -0.17885E+02    0.51196E+07    0.72451E+04
    92    0.25402E+04    0.67423E+00   -0.18545E+02    0.50891E+07    0.71544E+04
    93    0.25710E+04    0.69024E+00   -0.19210E+02    0.50586E+07    0.70655E+04
    94    0.26018E+04    0.70619E+00   -0.19878E+02    0.50283E+07    0.69783E+04
    95    0.26329E+04    0.72208E+00   -0.20551E+02    0.49981E+07    0.68929E+04
    96    0.26640E+04    0.73789E+00   -0.21227E+02    0.49681E+07    0.68092E+04
    97    0.26956E+04    0.75361E+00   -0.21906E+02    0.49381E+07    0.67272E+04
    98    0.27274E+04    0.76923E+00   -0.22586E+02    0.49083E+07    0.66467E+04
    99    0.27592E+04    0.78471E+00   -0.23270E+02    0.48787E+07    0.65678E+04
   100    0.27914E+04    0.80006E+00   -0.23953E+02    0.48491E+07    0.64905E+04
   101    0.28237E+04    0.81533E+00   -0.24639E+02    0.48197E+07    0.64147E+04
   102    0.28566E+04    0.83037E+00   -0.25324E+02    0.47905E+07    0.63403E+04
   103    0.28894E+04    0.84525E+00   -0.26010E+02    0.47614E+07    0.62673E+04
   104    0.29224E+04    0.85998E+00   -0.26694E+02    0.47325E+07    0.61957E+04
   105    0.29555E+04    0.87448E+00   -0.27377E+02    0.47037E+07    0.61255E+04
   106    0.29889E+04    0.88882E+00   -0.28059E+02    0.46750E+07    0.60566E+04
   107    0.30223E+04    0.90285E+00   -0.28737E+02    0.46466E+07    0.59889E+04
   108    0.30560E+04    0.91665E+00   -0.29414E+02    0.46183E+07    0.59226E+04
   109    0.30899E+04    0.93013E+00   -0.30086E+02    0.45901E+07    0.58574E+04
   110    0.31238E+04    0.94331E+00   -0.30754E+02    0.45621E+07    0.57934E+04
   111    0.31579E+04    0.95625E+00   -0.31417E+02    0.45343E+07    0.57305E+04
   112    0.31922E+04    0.96888E+00   -0.32076E+02    0.45067E+07    0.56687E+04
   113    0.32267E+04    0.98119E+00   -0.32729E+02    0.44792E+07    0.56080E+04
   114    0.32613E+04    0.99311E+00   -0.33375E+02    0.44520E+07    0.55483E+04
   115    0.32961E+04    0.10048E+01   -0.34015E+02    0.44249E+07    0.54896E+04
   116    0.33310E+04    0.10160E+01   -0.34646E+02    0.43979E+07    0.54318E+04
   117    0.33661E+04    0.10268E+01   -0.35270E+02    0.43712E+07    0.53751E+04
   118    0.34014E+04    0.10374E+01   -0.35886E+02    0.43446E+07    0.53192E+04
   119    0.34368E+04    0.10476E+01   -0.36491E+02    0.43182E+07    0.52643E+04
   120    0.34722E+04    0.10573E+01   -0.37087E+02    0.42920E+07    0.52102E+04
   121    0.35077E+04    0.10667E+01   -0.37672E+02    0.42660E+07    0.51570E+04
   122    0.35433E+04    0.10756E+01   -0.38247E+02    0.42402E+07    0.51047E+04
   123    0.35789E+04    0.10840E+01   -0.38810E+02    0.42145E+07    0.50532E+04
   124    0.36147E+04    0.10920E+01   -0.39360E+02    0.41891E+07    0.50025E+04
   125    0.36504E+04    0.10995E+01   -0.39898E+02    0.41638E+07    0.49526E+04
