    48    0.13942E+04    0.10354E+00    0.90671E-03    0.73509E+00    0.13354E-06    0.91095E-03   -0.19201E-05
    49    0.14141E+04    0.11060E+00    0.93101E-03    0.56873E+00    0.13300E-06    0.89180E-03   -0.18594E-05
    50    0.14343E+04    0.11797E+00    0.95504E-03    0.38748E+00    0.13245E-06    0.87316E-03   -0.17244E-05
    51    0.14547E+04    0.12555E+00    0.97874E-03    0.18947E+00    0.13188E-06    0.85504E-03   -0.15511E-05
    52    0.14756E+04    0.13335E+00    0.10021E-02   -0.22926E-01    0.13129E-06    0.83749E-03   -0.13818E-05
    53    0.14965E+04    0.14147E+00    0.10249E-02   -0.24680E+00    0.13068E-06    0.82052E-03   -0.12532E-05
    54    0.15173E+04    0.14993E+00    0.10473E-02   -0.48011E+00    0.13007E-06    0.80416E-03   -0.11799E-05
    55    0.15384E+04    0.15876E+00    0.10693E-02   -0.72291E+00    0.12944E-06    0.78841E-03   -0.11710E-05
    56    0.15598E+04    0.16787E+00    0.10908E-02   -0.98026E+00    0.12880E-06    0.77327E-03   -0.12297E-05
    57    0.15815E+04    0.17719E+00    0.11118E-02   -0.12511E+01    0.12815E-06    0.75867E-03   -0.13368E-05
    58    0.16033E+04    0.18677E+00    0.11323E-02   -0.15339E+01    0.12750E-06    0.74452E-03   -0.14672E-05
    59    0.16252E+04    0.19667E+00    0.11522E-02   -0.18283E+01    0.12683E-06    0.73074E-03   -0.15978E-05
    60    0.16473E+04    0.20685E+00    0.11716E-02   -0.21352E+01    0.12616E-06    0.71733E-03   -0.17117E-05
    61    0.16698E+04    0.21732E+00    0.11903E-02   -0.24561E+01    0.12548E-06    0.70428E-03   -0.17940E-05
    62    0.16925E+04    0.22805E+00    0.12085E-02   -0.27918E+01    0.12479E-06    0.69158E-03   -0.18319E-05
    63    0.17153E+04    0.23901E+00    0.12262E-02   -0.31418E+01    0.12409E-06    0.67920E-03   -0.18219E-05
    64    0.17385E+04    0.25022E+00    0.12431E-02   -0.35049E+01    0.12340E-06    0.66708E-03   -0.17630E-05
    65    0.17618E+04    0.26171E+00    0.12594E-02   -0.38808E+01    0.12270E-06    0.65520E-03   -0.16605E-05
    66    0.17852E+04    0.27342E+00    0.12750E-02   -0.42699E+01    0.12199E-06    0.64362E-03   -0.15456E-05
    67    0.18088E+04    0.28538E+00    0.12900E-02   -0.46726E+01    0.12128E-06    0.63242E-03   -0.14558E-05
    68    0.18329E+04    0.29761E+00    0.13044E-02   -0.50893E+01    0.12057E-06    0.62166E-03   -0.14188E-05
    69    0.18571E+04    0.31006E+00    0.13182E-02   -0.55165E+01    0.11986E-06    0.61129E-03   -0.14229E-05
    70    0.18816E+04    0.32273E+00    0.13313E-02   -0.59527E+01    0.11914E-06    0.60122E-03   -0.14462E-05
    71    0.19064E+04    0.33562E+00    0.13437E-02   -0.63981E+01    0.11843E-06    0.59139E-03   -0.14708E-05
    72    0.19315E+04    0.34869E+00    0.13554E-02   -0.68544E+01    0.11771E-06    0.58178E-03   -0.14932E-05
