#    L    TT             EE             BB             TE          
    91    0.26600E+04    0.71834E+00    0.31447E-02   -0.19334E+02
    92    0.26924E+04    0.73567E+00    0.32146E-02   -0.20042E+02
    93    0.27250E+04    0.75296E+00    0.32853E-02   -0.20755E+02
    94    0.27578E+04    0.77017E+00    0.33568E-02   -0.21472E+02
    95    0.27909E+04    0.78731E+00    0.34291E-02   -0.22193E+02
    96    0.28240E+04    0.80435E+00    0.35023E-02   -0.22918E+02
    97    0.28576E+04    0.82128E+00    0.35762E-02   -0.23645E+02
    98    0.28914E+04    0.83810E+00    0.36510E-02   -0.24374E+02
    99    0.29253E+04    0.85475E+00    0.37266E-02   -0.25105E+02
   100    0.29595E+04    0.87124E+00    0.38031E-02   -0.25836E+02
   101    0.29939E+04    0.88764E+00    0.38804E-02   -0.26569E+02
   102    0.30289E+04    0.90377E+00    0.39585E-02   -0.27301E+02
   103    0.30637E+04    0.91973E+00    0.40375E-02   -0.28034E+02
   104    0.30988E+04    0.93550E+00    0.41174E-02   -0.28763E+02
   105    0.31341E+04    0.95101E+00    0.41981E-02   -0.29492E+02
   106    0.31696E+04    0.96633E+00    0.42797E-02   -0.30218E+02
   107    0.32051E+04    0.98131E+00    0.43621E-02   -0.30941E+02
   108    0.32409E+04    0.99603E+00    0.44455E-02   -0.31661E+02
   109    0.32770E+04    0.10104E+01    0.45297E-02   -0.32376E+02
   110    0.33131E+04    0.10244E+01    0.46148E-02   -0.33085E+02
   111    0.33493E+04    0.10382E+01    0.47008E-02   -0.33789E+02
   112    0.33858E+04    0.10516E+01    0.47878E-02   -0.34488E+02
   113    0.34225E+04    0.10646E+01    0.48756E-02   -0.35180E+02
   114    0.34592E+04    0.10772E+01    0.49644E-02   -0.35865E+02
   115    0.34962E+04    0.10896E+01    0.50540E-02   -0.36541E+02
   116    0.35333E+04    0.11014E+01    0.51447E-02   -0.37209E+02
   117    0.35706E+04    0.11128E+01    0.52362E-02   -0.37867E+02
   118    0.36081E+04    0.11239E+01    0.53287E-02   -0.38516E+02
   119    0.36456E+04    0.11346E+01    0.54222E-02   -0.39154E+02
   120    0.36833E+04    0.11447E+01    0.55166E-02   -0.39780E+02
   121    0.37210E+04    0.11545E+01    0.56120E-02   -0.40395E+02
   122    0.37587E+04    0.11637E+01    0.57083E-02   -0.40998E+02
   123    0.37966E+04    0.11724E+01    0.58057E-02   -0.41588E+02
   124    0.38345E+04    0.11807E+01    0.59040E-02   -0.42163E+02
   125    0.38724E+04    0.11885E+01    0.60033E-02   -0.42724E+02
   126    0.39104E+04    0.11958E+01    0.61036E-02   -0.43271E+02
   127    0.39484E+04    0.12025E+01    0.62050E-02   -0.43803E+02
   128    0.39863E+04    0.12088E+01    0.63073E-02   -0.44319E+02
   129    0.40244E+04    0.12145E+01    0.64107E-02   -0.44819E+02
   130    0.40624E+04    0.12196E+01    0.65151E-02   -0.45300E+02
   131    0.41005E+04    0.12243E+01    0.66206E-02   -0.45766E+02
   132    0.41386E+04    0.12284E+01    0.67271E-02   -0.46212E+02
   133    0.41766E+04    0.12320E+01    0.68346E-02   -0.46640E+02
   134    0.42146E+04    0.12350E+01    0.69433E-02   -0.47048E+02
   135    0.42526E+04    0.12375E+01    0.70529E-02   -0.47436E+02
   136    0.42904E+04    0.12394E+01    0.71637E-02   -0.47803E+02
   137    0.43283E+04    0.12407E+01    0.72755E-02   -0.48149E+02
   138    0.43660E+04    0.12415E+01    0.73884E-02   -0.48473E+02
   139    0.44035E+04    0.12418E+01    0.75024E-02   -0.48775E+02
   140    0.44411E+04    0.12415E+01    0.76175E-02   -0.49056E+02
   141    0.44784E+04    0.12406E+01    0.77337E-02   -0.49312E+02
   142    0.45158E+04    0.12392E+01    0.78510E-02   -0.49546E+02
   143    0.45530E+04    0.12372E+01    0.79694E-02   -0.49756E+02
   144    0.45900E+04    0.12347E+01    0.80890E-02   -0.49942E+02
   145    0.46269E+04    0.12318E+01    0.82096E-02   -0.50104E+02
   146    0.46638E+04    0.12282E+01    0.83314E-02   -0.50241E+02
   147    0.47003E+04    0.12242E+01    0.84544E-02   -0.50351E+02
   148    0.47367E+04    0.12195E+01    0.85785E-02   -0.50437E+02
   149    0.47730E+04    0.12144E+01    0.87037E-02   -0.50497E+02
   150    0.48090E+04    0.12089E+01    0.88300E-02   -0.50529E+02
   151    0.48448E+04    0.12028E+01    0.89576E-02   -0.50534E+02
   152    0.48803E+04    0.11962E+01    0.90862E-02   -0.50513E+02
