    81    0.20794E+04    0.46198E+00    0.22126E-02   -0.10873E+02
    82    0.21061E+04    0.47644E+00    0.22679E-02   -0.11419E+02
    83    0.21330E+04    0.49101E+00    0.23240E-02   -0.11973E+02
    84    0.21601E+04    0.50567E+00    0.23808E-02   -0.12536E+02
    85    0.21874E+04    0.52040E+00    0.24383E-02   -0.13107E+02
    86    0.22150E+04    0.53520E+00    0.24964E-02   -0.13685E+02
    87    0.22429E+04    0.55005E+00    0.25554E-02   -0.14270E+02
    88    0.22710E+04    0.56494E+00    0.26150E-02   -0.14862E+02
    89    0.22993E+04    0.57986E+00    0.26753E-02   -0.15460E+02
    90    0.23278E+04    0.59480E+00    0.27364E-02   -0.16064E+02
    91    0.23566E+04    0.60974E+00    0.27982E-02   -0.16674E+02
    92    0.23856E+04    0.62467E+00    0.28607E-02   -0.17288E+02
    93    0.24149E+04    0.63957E+00    0.29240E-02   -0.17907E+02
    94    0.24444E+04    0.65442E+00    0.29880E-02   -0.18530E+02
    95    0.24741E+04    0.66923E+00    0.30527E-02   -0.19157E+02
    96    0.25040E+04    0.68396E+00    0.31182E-02   -0.19787E+02
    97    0.25341E+04    0.69860E+00    0.31844E-02   -0.20420E+02
    98    0.25645E+04    0.71315E+00    0.32514E-02   -0.21055E+02
    99    0.25951E+04    0.72758E+00    0.33191E-02   -0.21691E+02
   100    0.26258E+04    0.74188E+00    0.33876E-02   -0.22329E+02
   101    0.26568E+04    0.75605E+00    0.34569E-02   -0.22968E+02
   102    0.26880E+04    0.77006E+00    0.35269E-02   -0.23607E+02
   103    0.27193E+04    0.78390E+00    0.35978E-02   -0.24245E+02
   104    0.27509E+04    0.79756E+00    0.36694E-02   -0.24882E+02
   105    0.27826E+04    0.81102E+00    0.37417E-02   -0.25518E+02
   106    0.28146E+04    0.82427E+00    0.38149E-02   -0.26152E+02
   107    0.28467E+04    0.83731E+00    0.38889E-02   -0.26784E+02
   108    0.28789E+04    0.85010E+00    0.39637E-02   -0.27412E+02
   109    0.29113E+04    0.86265E+00    0.40393E-02   -0.28037E+02
   110    0.29439E+04    0.87493E+00    0.41157E-02   -0.28658E+02
   111    0.29767E+04    0.88694E+00    0.41930E-02   -0.29274E+02
   112    0.30096E+04    0.89865E+00    0.42710E-02   -0.29885E+02
   113    0.30426E+04    0.91006E+00    0.43499E-02   -0.30491E+02
   114    0.30758E+04    0.92116E+00    0.44297E-02   -0.31090E+02
   115    0.31091E+04    0.93192E+00    0.45103E-02   -0.31682E+02
   116    0.31426E+04    0.94234E+00    0.45917E-02   -0.32267E+02
   117    0.31761E+04    0.95242E+00    0.46740E-02   -0.32844E+02
   118    0.32098E+04    0.96214E+00    0.47572E-02   -0.33413E+02
   119    0.32436E+04    0.97149E+00    0.48412E-02   -0.33973E+02
   120    0.32775E+04    0.98047E+00    0.49262E-02   -0.34524E+02
   121    0.33115E+04    0.98907E+00    0.50120E-02   -0.35064E+02
   122    0.33455E+04    0.99727E+00    0.50987E-02   -0.35594E+02
   123    0.33797E+04    0.10051E+01    0.51863E-02   -0.36113E+02
   124    0.34139E+04    0.10125E+01    0.52748E-02   -0.36620E+02
   125    0.34481E+04    0.10195E+01    0.53642E-02   -0.37116E+02
   126    0.34824E+04    0.10260E+01    0.54546E-02   -0.37598E+02
   127    0.35168E+04    0.10321E+01    0.55459E-02   -0.38068E+02
   128    0.35512E+04    0.10378E+01    0.56381E-02   -0.38523E+02
   129    0.35856E+04    0.10431E+01    0.57312E-02   -0.38965E+02
   130    0.36200E+04    0.10478E+01    0.58253E-02   -0.39391E+02
   131    0.36545E+04    0.10521E+01    0.59203E-02   -0.39802E+02
   132    0.36890E+04    0.10560E+01    0.60163E-02   -0.40198E+02
   133    0.37234E+04    0.10593E+01    0.61133E-02   -0.40577E+02
   134    0.37578E+04    0.10622E+01    0.62113E-02   -0.40939E+02
   135    0.37922E+04    0.10646E+01    0.63102E-02   -0.41284E+02
   136    0.38266E+04    0.10666E+01    0.64101E-02   -0.41611E+02
   137    0.38609E+04    0.10681E+01    0.65110E-02   -0.41921E+02
   138    0.38952E+04    0.10691E+01    0.66129E-02   -0.42211E+02
   139    0.39294E+04    0.10696E+01    0.67158E-02   -0.42483E+02
   140    0.39635E+04    0.10697E+01    0.68197E-02   -0.42736E+02
   141    0.39976E+04    0.10693E+01    0.69246E-02   -0.42968E+02
   142    0.40315E+04    0.10685E+01    0.70305E-02   -0.43181E+02
   143    0.40654E+04    0.10672E+01    0.71375E-02   -0.43372E+02
   144    0.40991E+04    0.10654E+01    0.72455E-02   -0.43543E+02
   145    0.41327E+04    0.10632E+01    0.73545E-02   -0.43692E+02
   146    0.41662E+04    0.10605E+01    0.74646E-02   -0.43818E+02
   147    0.41995E+04    0.10574E+01    0.75757E-02   -0.43923E+02
   148    0.42326E+04    0.10538E+01    0.76879E-02   -0.44004E+02
   149    0.42656E+04    0.10497E+01    0.78011E-02   -0.44063E+02
   150    0.42985E+04    0.10453E+01    0.79153E-02   -0.44097E+02
   151    0.43311E+04    0.10404E+01    0.80307E-02   -0.44108E+02
   152    0.43635E+04    0.10351E+01    0.81470E-02   -0.44095E+02
   153    0.43958E+04    0.10294E+01    0.82645E-02   -0.44058E+02
   154    0.44278E+04    0.10233E+01    0.83830E-02   -0.43996E+02
   155    0.44596E+04    0.10168E+01    0.85026E-02   -0.43909E+02
   156    0.44912E+04    0.10100E+01    0.86233E-02   -0.43798E+02
   157    0.45225E+04    0.10029E+01    0.87451E-02   -0.43661E+02
   158    0.45536E+04    0.99545E+00    0.88679E-02   -0.43499E+02
   159    0.45844E+04    0.98769E+00    0.89918E-02   -0.43311E+02
   160    0.46149E+04    0.97963E+00    0.91168E-02   -0.43098E+02
   161    0.46451E+04    0.97129E+00    0.92429E-02   -0.42858E+02
