#    L    TT             EE             TE             PP             TP          
    75    0.21766E+04    0.44583E+00   -0.90657E+01    0.54959E+07    0.88275E+04
    76    0.22046E+04    0.46170E+00   -0.96313E+01    0.54675E+07    0.87042E+04
    77    0.22329E+04    0.47779E+00   -0.10209E+02    0.54390E+07    0.85838E+04
    78    0.22615E+04    0.49412E+00   -0.10800E+02    0.54105E+07    0.84663E+04
    79    0.22902E+04    0.51061E+00   -0.11400E+02    0.53818E+07    0.83515E+04
    80    0.23194E+04    0.52726E+00   -0.12011E+02    0.53531E+07    0.82394E+04
    81    0.23487E+04    0.54400E+00   -0.12632E+02    0.53244E+07    0.81300E+04
    82    0.23784E+04    0.56087E+00   -0.13264E+02    0.52957E+07    0.80231E+04
    83    0.24083E+04    0.57783E+00   -0.13906E+02    0.52669E+07    0.79187E+04
    84    0.24386E+04    0.59489E+00   -0.14557E+02    0.52382E+07    0.78167E+04
    85    0.24690E+04    0.61200E+00   -0.15217E+02    0.52094E+07    0.77170E+04
    86    0.24997E+04    0.62920E+00   -0.15886E+02    0.51807E+07    0.76195E+04
    87    0.25308E+04    0.64644E+00   -0.16563E+02    0.51520E+07    0.75242E+04
    88    0.25620E+04    0.66373E+00   -0.17247E+02    0.51234E+07    0.74309E+04
    89    0.25936E+04    0.68106E+00   -0.17940E+02    0.50948E+07    0.73395E+04
    90    0.26254E+04    0.69839E+00   -0.18637E+02    0.50662E+07    0.72501E+04
    91    0.26574E+04    0.71570E+00   -0.19341E+02    0.50377E+07    0.71625E+04
    92    0.26897E+04    0.73299E+00   -0.20050E+02    0.50093E+07    0.70766E+04
    93    0.27224E+04    0.75023E+00   -0.20764E+02    0.49810E+07    0.69925E+04
    94    0.27551E+04    0.76740E+00   -0.21482E+02    0.49527E+07    0.69101E+04
    95    0.27882E+04    0.78449E+00   -0.22205E+02    0.49245E+07    0.68292E+04
    96    0.28213E+04    0.80149E+00   -0.22931E+02    0.48965E+07    0.67500E+04
    97    0.28549E+04    0.81837E+00   -0.23659E+02    0.48685E+07    0.66722E+04
    98    0.28887E+04    0.83514E+00   -0.24389E+02    0.48407E+07    0.65960E+04
    99    0.29226E+04    0.85175E+00   -0.25122E+02    0.48129E+07    0.65211E+04
