#    L    TT             EE             TE             PP             TP          
    75    0.21899E+04    0.44795E+00   -0.91874E+01    0.53360E+07    0.92242E+04
    76    0.22181E+04    0.46387E+00   -0.97570E+01    0.53079E+07    0.91013E+04
    77    0.22466E+04    0.48002E+00   -0.10339E+02    0.52798E+07    0.89812E+04
    78    0.22755E+04    0.49639E+00   -0.10934E+02    0.52516E+07    0.88638E+04
    79    0.23045E+04    0.51293E+00   -0.11538E+02    0.52233E+07    0.87490E+04
    80    0.23339E+04    0.52963E+00   -0.12153E+02    0.51950E+07    0.86368E+04
    81    0.23636E+04    0.54642E+00   -0.12778E+02    0.51666E+07    0.85271E+04
    82    0.23935E+04    0.56333E+00   -0.13414E+02    0.51383E+07    0.84199E+04
    83    0.24237E+04    0.58034E+00   -0.14060E+02    0.51099E+07    0.83151E+04
    84    0.24543E+04    0.59743E+00   -0.14715E+02    0.50816E+07    0.82125E+04
    85    0.24850E+04    0.61459E+00   -0.15379E+02    0.50532E+07    0.81122E+04
    86    0.25159E+04    0.63182E+00   -0.16052E+02    0.50250E+07    0.80140E+04
    87    0.25473E+04    0.64910E+00   -0.16733E+02    0.49967E+07    0.79179E+04
    88    0.25788E+04    0.66642E+00   -0.17420E+02    0.49685E+07    0.78237E+04
    89    0.26106E+04    0.68378E+00   -0.18117E+02    0.49403E+07    0.77314E+04
    90    0.26427E+04    0.70114E+00   -0.18818E+02    0.49122E+07    0.76409E+04
    91    0.26750E+04    0.71847E+00   -0.19525E+02    0.48842E+07    0.75522E+04
    92    0.27076E+04    0.73578E+00   -0.20238E+02    0.48563E+07    0.74652E+04
    93    0.27406E+04    0.75304E+00   -0.20956E+02    0.48284E+07    0.73799E+04
    94    0.27736E+04    0.77023E+00   -0.21677E+02    0.48007E+07    0.72962E+04
    95    0.28070E+04    0.78733E+00   -0.22403E+02    0.47730E+07    0.72140E+04
    96    0.28403E+04    0.80434E+00   -0.23132E+02    0.47454E+07    0.71333E+04
    97    0.28742E+04    0.82123E+00   -0.23864E+02    0.47179E+07    0.70541E+04
    98    0.29083E+04    0.83800E+00   -0.24596E+02    0.46906E+07    0.69764E+04
    99    0.29424E+04    0.85461E+00   -0.25332E+02    0.46634E+07    0.69000E+04
   100    0.29769E+04    0.87105E+00   -0.26067E+02    0.46363E+07    0.68250E+04
   101    0.30116E+04    0.88739E+00   -0.26804E+02    0.46093E+07    0.67513E+04
   102    0.30468E+04    0.90347E+00   -0.27540E+02    0.45824E+07    0.66789E+04
   103    0.30819E+04    0.91936E+00   -0.28277E+02    0.45557E+07    0.66077E+04
   104    0.31173E+04    0.93506E+00   -0.29011E+02    0.45291E+07    0.65379E+04
   105    0.31529E+04    0.95050E+00   -0.29743E+02    0.45026E+07    0.64692E+04
   106    0.31887E+04    0.96575E+00   -0.30473E+02    0.44763E+07    0.64017E+04
   107    0.32244E+04    0.98065E+00   -0.31199E+02    0.44501E+07    0.63353E+04
   108    0.32605E+04    0.99528E+00   -0.31923E+02    0.44241E+07    0.62701E+04
   109    0.32968E+04    0.10096E+01   -0.32641E+02    0.43982E+07    0.62060E+04
   110    0.33332E+04    0.10235E+01   -0.33354E+02    0.43724E+07    0.61429E+04
   111    0.33698E+04    0.10371E+01   -0.34062E+02    0.43468E+07    0.60809E+04
   112    0.34065E+04    0.10504E+01   -0.34764E+02    0.43214E+07    0.60199E+04
   113    0.34435E+04    0.10634E+01   -0.35459E+02    0.42961E+07    0.59599E+04
   114    0.34805E+04    0.10759E+01   -0.36146E+02    0.42709E+07    0.59008E+04
   115    0.35178E+04    0.10881E+01   -0.36825E+02    0.42460E+07    0.58426E+04
   116    0.35551E+04    0.10998E+01   -0.37495E+02    0.42212E+07    0.57854E+04
   117    0.35927E+04    0.11111E+01   -0.38156E+02    0.41965E+07    0.57290E+04
   118    0.36305E+04    0.11220E+01   -0.38807E+02    0.41720E+07    0.56734E+04
   119    0.36683E+04    0.11326E+01   -0.39447E+02    0.41477E+07    0.56188E+04
   120    0.37063E+04    0.11425E+01   -0.40076E+02    0.41235E+07    0.55649E+04
   121    0.37442E+04    0.11522E+01   -0.40693E+02    0.40995E+07    0.55118E+04
   122    0.37823E+04    0.11612E+01   -0.41297E+02    0.40757E+07    0.54596E+04
   123    0.38204E+04    0.11698E+01   -0.41889E+02    0.40520E+07    0.54081E+04
   124    0.38586E+04    0.11779E+01   -0.42465E+02    0.40285E+07    0.53573E+04
   125    0.38968E+04    0.11854E+01   -0.43028E+02    0.40051E+07    0.53072E+04
   126    0.39351E+04    0.11926E+01   -0.43576E+02    0.39819E+07    0.52579E+04
   127    0.39734E+04    0.11991E+01   -0.44108E+02    0.39589E+07    0.52092E+04
   128    0.40116E+04    0.12052E+01   -0.44625E+02    0.39360E+07    0.51613E+04
   129    0.40500E+04    0.12107E+01   -0.45125E+02    0.39133E+07    0.51139E+04
   130    0.40883E+04    0.12156E+01   -0.45607E+02    0.38908E+07    0.50672E+04
   131    0.41266E+04    0.12201E+01   -0.46072E+02    0.38684E+07    0.50211E+04
   132    0.41650E+04    0.12240E+01   -0.46518E+02    0.38462E+07    0.49756E+04
   133    0.42033E+04    0.12273E+01   -0.46946E+02    0.38242E+07    0.49307E+04
   134    0.42416E+04    0.12301E+01   -0.47353E+02    0.38023E+07    0.48863E+04
   135    0.42799E+04    0.12324E+01   -0.47741E+02    0.37806E+07    0.48425E+04
   136    0.43180E+04    0.12340E+01   -0.48106E+02    0.37590E+07    0.47992E+04
   137    0.43561E+04    0.12351E+01   -0.48450E+02    0.37376E+07    0.47565E+04
   138    0.43941E+04    0.12356E+01   -0.48773E+02    0.37164E+07    0.47143E+04
   139    0.44319E+04    0.12357E+01   -0.49074E+02    0.36953E+07    0.46727E+04
   140    0.44698E+04    0.12351E+01   -0.49352E+02    0.36744E+07    0.46315E+04
   141    0.45074E+04    0.12339E+01   -0.49606E+02    0.36536E+07    0.45909E+04
   142    0.45450E+04    0.12322E+01   -0.49837E+02    0.36330E+07    0.45507E+04
   143    0.45825E+04    0.12300E+01   -0.50045E+02    0.36126E+07    0.45110E+04
   144    0.46198E+04    0.12272E+01   -0.50228E+02    0.35923E+07    0.44719E+04
   145    0.46569E+04    0.12240E+01   -0.50386E+02    0.35722E+07    0.44331E+04
   146    0.46941E+04    0.12201E+01   -0.50520E+02    0.35522E+07    0.43949E+04
   147    0.47309E+04    0.12158E+01   -0.50627E+02    0.35324E+07    0.43570E+04
   148    0.47676E+04    0.12108E+01   -0.50709E+02    0.35128E+07    0.43196E+04
   149    0.48041E+04    0.12054E+01   -0.50764E+02    0.34933E+07    0.42827E+04
   150    0.48404E+04    0.11996E+01   -0.50791E+02    0.34739E+07    0.42461E+04
   151    0.48765E+04    0.11932E+01   -0.50792E+02    0.34547E+07    0.42100E+04
   152    0.49122E+04    0.11863E+01   -0.50765E+02    0.34357E+07    0.41743E+04
   153    0.49478E+04    0.11789E+01   -0.50709E+02    0.34168E+07    0.41390E+04
   154    0.49831E+04    0.11711E+01   -0.50625E+02    0.33980E+07    0.41040E+04
   155    0.50182E+04    0.11630E+01   -0.50513E+02    0.33794E+07    0.40695E+04
   156    0.50528E+04    0.11544E+01   -0.50373E+02    0.33610E+07    0.40353E+04
   157    0.50873E+04    0.11454E+01   -0.50203E+02    0.33427E+07    0.40015E+04
   158    0.51215E+04    0.11361E+01   -0.50004E+02    0.33245E+07    0.39681E+04
   159    0.51553E+04    0.11263E+01   -0.49775E+02    0.33065E+07    0.39350E+04
   160    0.51888E+04    0.11162E+01   -0.49516E+02    0.32886E+07    0.39023E+04
   161    0.52221E+04    0.11058E+01   -0.49227E+02    0.32709E+07    0.38699E+04
   162    0.52549E+04    0.10951E+01   -0.48909E+02    0.32533E+07    0.38378E+04
   163    0.52876E+04    0.10840E+01   -0.48560E+02    0.32359E+07    0.38061E+04
   164    0.53197E+04    0.10727E+01   -0.48182E+02    0.32186E+07    0.37747E+04
   165    0.53516E+04    0.10612E+01   -0.47772E+02    0.32014E+07    0.37436E+04
   166    0.53831E+04    0.10495E+01   -0.47331E+02    0.31844E+07    0.37128E+04
   167    0.54143E+04    0.10374E+01   -0.46861E+02    0.31675E+07    0.36823E+04
   168    0.54449E+04    0.10253E+01   -0.46359E+02    0.31507E+07    0.36522E+04
   169    0.54752E+04    0.10129E+01   -0.45825E+02    0.31341E+07    0.36223E+04
   170    0.55051E+04    0.10005E+01   -0.45262E+02    0.31176E+07    0.35927E+04
   171    0.55344E+04    0.98804E+00   -0.44666E+02    0.31012E+07    0.35633E+04
   172    0.55633E+04    0.97546E+00   -0.44039E+02    0.30850E+07    0.35343E+04
   173    0.55917E+04    0.96277E+00   -0.43381E+02    0.30689E+07    0.35055E+04
   174    0.56196E+04    0.95026E+00   -0.42692E+02    0.30529E+07    0.34770E+04
   175    0.56472E+04    0.93765E+00   -0.41972E+02    0.30371E+07    0.34488E+04
   176    0.56741E+04    0.92516E+00   -0.41221E+02    0.30213E+07    0.34208E+04
   177    0.57005E+04    0.91272E+00   -0.40439E+02    0.30057E+07    0.33931E+04
   178    0.57264E+04    0.90057E+00   -0.39627E+02    0.29903E+07    0.33657E+04
   179    0.57518E+04    0.88841E+00   -0.38783E+02    0.29749E+07    0.33385E+04
   180    0.57768E+04    0.87646E+00   -0.37909E+02    0.29597E+07    0.33115E+04
   181    0.58011E+04    0.86474E+00   -0.37005E+02    0.29446E+07    0.32848E+04
   182    0.58250E+04    0.85331E+00   -0.36070E+02    0.29296E+07    0.32583E+04
   183    0.58482E+04    0.84212E+00   -0.35106E+02    0.29147E+07    0.32321E+04
   184    0.58710E+04    0.83124E+00   -0.34111E+02    0.28999E+07    0.32060E+04
   185    0.58932E+04    0.82083E+00   -0.33088E+02    0.28853E+07    0.31802E+04
   186    0.59146E+04    0.81075E+00   -0.32035E+02    0.28707E+07    0.31547E+04
   187    0.59356E+04    0.80115E+00   -0.30951E+02    0.28563E+07    0.31293E+04
   188    0.59561E+04    0.79202E+00   -0.29841E+02    0.28420E+07    0.31042E+04
   189    0.59759E+04    0.78340E+00   -0.28700E+02    0.28278E+07    0.30793E+04
   190    0.59955E+04    0.77535E+00   -0.27533E+02    0.28137E+07    0.30546E+04
   191    0.60140E+04    0.76791E+00   -0.26336E+02    0.27998E+07    0.30301E+04
   192    0.60321E+04    0.76109E+00   -0.25112E+02    0.27859E+07    0.30058E+04
   193    0.60495E+04    0.75495E+00   -0.23862E+02    0.27722E+07    0.29817E+04
   194    0.60664E+04    0.74952E+00   -0.22583E+02    0.27585E+07    0.29578E+04
   195    0.60827E+04    0.74485E+00   -0.21279E+02    0.27450E+07    0.29342E+04
   196    0.60982E+04    0.74098E+00   -0.19948E+02    0.27315E+07    0.29107E+04
   197    0.61132E+04    0.73797E+00   -0.18593E+02    0.27182E+07    0.28874E+04
   198    0.61275E+04    0.73583E+00   -0.17211E+02    0.27050E+07    0.28644E+04
