#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.16446E+04    0.17090E+00    0.00000E+00   -0.32488E+00    0.13401E-06    0.73885E-03   -0.11697E-05
    55    0.16675E+04    0.18096E+00    0.00000E+00   -0.59438E+00    0.13346E-06    0.72549E-03   -0.11829E-05
    56    0.16907E+04    0.19135E+00    0.00000E+00   -0.87873E+00    0.13291E-06    0.71252E-03   -0.11959E-05
    57    0.17143E+04    0.20207E+00    0.00000E+00   -0.11792E+01    0.13234E-06    0.70003E-03   -0.12086E-05
    58    0.17380E+04    0.21312E+00    0.00000E+00   -0.14951E+01    0.13176E-06    0.68791E-03   -0.12211E-05
    59    0.17619E+04    0.22449E+00    0.00000E+00   -0.18249E+01    0.13117E-06    0.67607E-03   -0.12332E-05
    60    0.17859E+04    0.23616E+00    0.00000E+00   -0.21679E+01    0.13057E-06    0.66453E-03   -0.12449E-05
    61    0.18105E+04    0.24813E+00    0.00000E+00   -0.25235E+01    0.12996E-06    0.65335E-03   -0.12563E-05
    62    0.18350E+04    0.26041E+00    0.00000E+00   -0.28933E+01    0.12934E-06    0.64250E-03   -0.12675E-05
    63    0.18598E+04    0.27297E+00    0.00000E+00   -0.32788E+01    0.12872E-06    0.63199E-03   -0.12784E-05
    64    0.18849E+04    0.28587E+00    0.00000E+00   -0.36817E+01    0.12809E-06    0.62178E-03   -0.12890E-05
    65    0.19102E+04    0.29912E+00    0.00000E+00   -0.41032E+01    0.12746E-06    0.61186E-03   -0.12993E-05
    66    0.19357E+04    0.31267E+00    0.00000E+00   -0.45421E+01    0.12682E-06    0.60222E-03   -0.13094E-05
    67    0.19613E+04    0.32651E+00    0.00000E+00   -0.49959E+01    0.12617E-06    0.59284E-03   -0.13191E-05
    68    0.19874E+04    0.34065E+00    0.00000E+00   -0.54629E+01    0.12553E-06    0.58369E-03   -0.13286E-05
    69    0.20136E+04    0.35503E+00    0.00000E+00   -0.59405E+01    0.12487E-06    0.57479E-03   -0.13377E-05
    70    0.20403E+04    0.36965E+00    0.00000E+00   -0.64289E+01    0.12422E-06    0.56611E-03   -0.13466E-05
    71    0.20671E+04    0.38450E+00    0.00000E+00   -0.69294E+01    0.12356E-06    0.55764E-03   -0.13551E-05
    72    0.20942E+04    0.39954E+00    0.00000E+00   -0.74433E+01    0.12290E-06    0.54939E-03   -0.13634E-05
    73    0.21214E+04    0.41477E+00    0.00000E+00   -0.79712E+01    0.12224E-06    0.54134E-03   -0.13714E-05
    74    0.21489E+04    0.43019E+00    0.00000E+00   -0.85124E+01    0.12158E-06    0.53349E-03   -0.13790E-05
    75    0.21766E+04    0.44583E+00    0.00000E+00   -0.90657E+01    0.12091E-06    0.52582E-03   -0.13864E-05
    76    0.22046E+04    0.46170E+00    0.00000E+00   -0.96313E+01    0.12025E-06    0.51835E-03   -0.13935E-05
    77    0.22329E+04    0.47779E+00    0.00000E+00   -0.10209E+02    0.11958E-06    0.51105E-03   -0.14003E-05
