#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43    0.12505E+04    0.12812E+01    0.23133E-04    0.12812E+01    0.69546E-01   -0.28971E-07    0.23133E-04   -0.28971E-07    0.65067E-10
    44    0.12694E+04    0.11765E+01    0.22095E-04    0.11765E+01    0.75007E-01   -0.30091E-07    0.22095E-04   -0.30091E-07    0.61957E-10
    45    0.12886E+04    0.10580E+01    0.21122E-04    0.10580E+01    0.80725E-01   -0.30649E-07    0.21122E-04   -0.30649E-07    0.59042E-10
    46    0.13081E+04    0.92675E+00    0.20205E-04    0.92675E+00    0.86713E-01   -0.30572E-07    0.20205E-04   -0.30572E-07    0.56308E-10
    47    0.13277E+04    0.78385E+00    0.19340E-04    0.78385E+00    0.92962E-01   -0.29914E-07    0.19340E-04   -0.29914E-07    0.53742E-10
    48    0.13474E+04    0.62810E+00    0.18524E-04    0.62810E+00    0.99480E-01   -0.28916E-07    0.18524E-04   -0.28916E-07    0.51329E-10
    49    0.13674E+04    0.45855E+00    0.17758E-04    0.45855E+00    0.10626E+00   -0.27814E-07    0.17758E-04   -0.27814E-07    0.49058E-10
    50    0.13877E+04    0.27636E+00    0.17034E-04    0.27636E+00    0.11333E+00   -0.26637E-07    0.17034E-04   -0.26637E-07    0.46918E-10
    51    0.14080E+04    0.82912E-01    0.16346E-04    0.82912E-01    0.12068E+00   -0.25416E-07    0.16346E-04   -0.25416E-07    0.44902E-10
    52    0.14286E+04   -0.12276E+00    0.15696E-04   -0.12276E+00    0.12829E+00   -0.24381E-07    0.15696E-04   -0.24381E-07    0.42998E-10
    53    0.14495E+04   -0.34174E+00    0.15086E-04   -0.34174E+00    0.13620E+00   -0.23744E-07    0.15086E-04   -0.23744E-07    0.41200E-10
    54    0.14705E+04   -0.57277E+00    0.14509E-04   -0.57277E+00    0.14438E+00   -0.23454E-07    0.14509E-04   -0.23454E-07    0.39500E-10
    55    0.14916E+04   -0.81471E+00    0.13961E-04   -0.81471E+00    0.15283E+00   -0.23384E-07    0.13961E-04   -0.23384E-07    0.37891E-10
