#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43    0.14047E+04    0.16890E+01    0.21098E-04    0.16890E+01    0.81938E-01   -0.23053E-07    0.21098E-04   -0.23053E-07    0.73378E-10
    44    0.14254E+04    0.15763E+01    0.20192E-04    0.15763E+01    0.88407E-01   -0.22911E-07    0.20192E-04   -0.22911E-07    0.69954E-10
    45    0.14465E+04    0.14490E+01    0.19343E-04    0.14490E+01    0.95191E-01   -0.22769E-07    0.19343E-04   -0.22769E-07    0.66742E-10
    46    0.14678E+04    0.13080E+01    0.18545E-04    0.13080E+01    0.10230E+00   -0.22626E-07    0.18545E-04   -0.22626E-07    0.63727E-10
    47    0.14892E+04    0.11547E+01    0.17790E-04    0.11547E+01    0.10973E+00   -0.22481E-07    0.17790E-04   -0.22481E-07    0.60894E-10
    48    0.15107E+04    0.98728E+00    0.17077E-04    0.98728E+00    0.11748E+00   -0.22336E-07    0.17077E-04   -0.22336E-07    0.58229E-10
    49    0.15325E+04    0.80451E+00    0.16407E-04    0.80451E+00    0.12555E+00   -0.22192E-07    0.16407E-04   -0.22192E-07    0.55717E-10
    50    0.15546E+04    0.60733E+00    0.15774E-04    0.60733E+00    0.13397E+00   -0.22047E-07    0.15774E-04   -0.22047E-07    0.53350E-10
    51    0.15766E+04    0.39696E+00    0.15173E-04    0.39696E+00    0.14271E+00   -0.21901E-07    0.15173E-04   -0.21901E-07    0.51116E-10
    52    0.15991E+04    0.17201E+00    0.14604E-04    0.17201E+00    0.15177E+00   -0.21754E-07    0.14604E-04   -0.21754E-07    0.49005E-10
    53    0.16218E+04   -0.69011E-01    0.14067E-04   -0.69011E-01    0.16118E+00   -0.21609E-07    0.14067E-04   -0.21609E-07    0.47010E-10
    54    0.16446E+04   -0.32488E+00    0.13558E-04   -0.32488E+00    0.17090E+00   -0.21463E-07    0.13558E-04   -0.21463E-07    0.45121E-10
    55    0.16675E+04   -0.59438E+00    0.13072E-04   -0.59438E+00    0.18096E+00   -0.21315E-07    0.13072E-04   -0.21315E-07    0.43333E-10
    56    0.16907E+04   -0.87873E+00    0.12612E-04   -0.87873E+00    0.19135E+00   -0.21167E-07    0.12612E-04   -0.21167E-07    0.41637E-10
    57    0.17143E+04   -0.11792E+01    0.12175E-04   -0.11792E+01    0.20207E+00   -0.21021E-07    0.12175E-04   -0.21021E-07    0.40029E-10
    58    0.17380E+04   -0.14951E+01    0.11760E-04   -0.14951E+01    0.21312E+00   -0.20875E-07    0.11760E-04   -0.20875E-07    0.38503E-10
    59    0.17619E+04   -0.18249E+01    0.11363E-04   -0.18249E+01    0.22449E+00   -0.20726E-07    0.11363E-04   -0.20726E-07    0.37053E-10
    60    0.17859E+04   -0.21679E+01    0.10984E-04   -0.21679E+01    0.23616E+00   -0.20577E-07    0.10984E-04   -0.20577E-07    0.35674E-10
    61    0.18105E+04   -0.25235E+01    0.10624E-04   -0.25235E+01    0.24813E+00   -0.20428E-07    0.10624E-04   -0.20428E-07    0.34362E-10
    62    0.18350E+04   -0.28933E+01    0.10280E-04   -0.28933E+01    0.26041E+00   -0.20280E-07    0.10280E-04   -0.20280E-07    0.33113E-10
